name	statement	
 stranger	 ❤😘	
 stranger	 Sndya	
 mj	 Monday alle 🤔	
 stranger	 🤦🏻‍♀🏃🏻‍♀🙊	
 stranger	 😨🙄orumattavumilla	
 mj	 🙄	
 mj	 Nee poille college il	
 stranger	 Poyda	
 mj	 🧐	
 stranger	 <Media omitted>	
 mj	 ☺	
 mj	 ❤	
 stranger	 ❤	
 mj	 Ippo nagam okke vetti kodutha?	
 stranger	 HHahahahaha afa	
 stranger	 Ada	
 mj	 🙂	
 stranger	 <Media omitted>	
 mj	 ☺ kollallo. Cartoon	
 mj	 Nick oo pogo yo?	
 stranger	 <Media omitted>	
 stranger	 Ithara ittekune Jassim tannealyo😨	
 mj	 ☺	
 mj	 Enna patti 🤔	
 stranger	 Alla ni ingnonum ittukndittilla atha choiche	
 mj	 Sheda 😕	
 stranger	 🤣	
 mj	 🙄	
 stranger	 🙊😛	
 mj	 🤔	
 mj	 Aarumillallo🙄	
 stranger	 Ninkipo Adarsh cash tez chyymtta	
 mj	 👍🏻	
 mj	 🤭	
 stranger	 😆	
 mj	 Pazhayada 🤭	
 mj	 Saaramilla	
 stranger	 🙆🏻‍♀🙇🏻‍♀😀😛	
 mj	 Pande pettu poittunde	
 stranger	 Sht anna	
 mj	 Sht?	
 stranger	 Shit	
 mj	 🤔	
 mj	 Gayathriye pole undallo	
 stranger	 <Media omitted>	
 mj	 😅	
 stranger	 Hihi	
 stranger	 ❤	
 mj	 😍	
 mj	 Ninda koode padikkunne aano?	
 stranger	 Poda	
 stranger	 Nta cousin siatets	
 mj	 Alle	
 mj	 Ok	
 stranger	 <Media omitted>	
 stranger	 <Media omitted>	
 mj	 Kanditte kuttikalanne manasilailla	
 stranger	 Hahahahahah	
 mj	 Ippo ok	
 mj	 🤭	
 mj	 Aare🤨	
 stranger	 🤭	
 mj	 Ningal kudumbathode Audi fans aana?	
 stranger	 😁👻😂😂😂ahda	
 mj	 🤛🏻	
 mj	 🤭	
 stranger	 Da	
 stranger	 <Media omitted>	
 mj	 Ok ☺	
 stranger	 Eh kavi ntha udheshche	
 mj	 Vaikkan ariyille kutty	
 mj	 World island	
 mj	 Avide ponam enne	
 stranger	 Oh angna	
 stranger	 Pokko	
 stranger	 Nallathana	
 mj	 Inshah Allah 🙂	
 mj	 Aairikkum	
 mj	 😄	
 stranger	 Da	
 stranger	 Njn cash iduane	
 stranger	500	
 stranger	 Kittyada	
 mj	 14rs 👍🏻	
 stranger	 😟	
 stranger	 14 ah	
 stranger	 500 alle	
 mj	 Yes	
 stranger	 Reward kittya	
 mj	 Yes	
 stranger	 Eniku better luck da😂	
 mj	 Better luck next time don't worry👍🏻	
 mj	 😉	
 stranger	 😂🥴poda	
 stranger	 Dty ana	
 mj	 Collage il pokua	
 mj	 Supplication	
 stranger	 🙊hmmm nadakttu	
 stranger	 Happy alle veruthe nkilm kanallo	
 mj	 Aara😟	
 stranger	 Maranna	
 mj	 x ine aano?	
Chenne keriyappozhe avala thanna kande 😅		
Ippo ade oru pain aa.		
Endina verude.		
Allelum serious aai pranaikkunnavare penpillerkke ishtamalla.		
Panjaravakkum glamour um ullavareyokke ivalumarkke ishtam. Padachon vidichittundel oruthi kaanum avala snehikkanam. Thekkumbo ooru chuttan ponam. Ini ippo angana oral illel endelum okke cheyyanam. Life waste kure aakki ini aarkkum waiting illa varunnavar varate. Door is opened. 🙂		
Idane ippo ende nilapade		
 stranger	 😍😍❤🥰😇	
 stranger	 Pinalla ni  ore poliyanu 	
Mahn		
 stranger	 Nthylm allh onine  vidhichittundu ninku 	
Avl varum etra late aylm		
 stranger	 Apozhum madichunilkathe keriangu premichonam🥰	
 mj	 Mashah Allah	
 mj	 🙂	
 stranger	 🥰	
 mj	 😌	
 mj	 👌🏻	
 stranger	 <Media omitted>	
 mj	 Always girls do	
 stranger	 😂👻🥴njN da	
 mj	 🤭	
 stranger	 Da	
 stranger	 Oru 5k edukan inda  ninte	
 stranger	 1 month ullil Inshallah njn tarada	
 stranger	 Atyavashamayipoyi  atha	
